id,x,y,max.lai,zone
WS5,418258.9,4024410.6,0.0700000003,Whiskey Springs
WS6,417358.9,4023510.6,0.7099999785,Whiskey Springs
WS7,417388.9,4023480.6,0.6800000072,Whiskey Springs
WS8,417268.9,4023750.6,0.0799999982,Whiskey Springs
WS9,417418.9,4023780.6,0.0399999991,Whiskey Springs
WS10,418228.9,4024650.6,0.3199999928,Whiskey Springs
WS11,418138.9,4024410.6,0.1800000072,Whiskey Springs
WS12,418258.9,4024470.6,0.1400000006,Whiskey Springs
WS13,417418.9,4023420.6,0.150000006,Whiskey Springs
WS14,418318.9,4024170.6,0.0799999982,Whiskey Springs
WS15,417118.9,4023690.6,0.0500000007,Whiskey Springs
WS16,417958.9,4023990.6,0.0399999991,Whiskey Springs
WS17,417448.9,4023750.6,0.0799999982,Whiskey Springs
WS18,417388.9,4023510.6,0.7699999809,Whiskey Springs
WS19,418018.9,4024170.6,0.0799999982,Whiskey Springs
WS20,417448.9,4023720.6,0.0799999982,Whiskey Springs
WS21,417508.9,4023600.6,0.1199999973,Whiskey Springs
WS22,418258.9,4024440.6,0.0700000003,Whiskey Springs
WS23,417898.9,4023840.6,0.0599999987,Whiskey Springs
WS24,418228.9,4024560.6,0.4699999988,Whiskey Springs
WS25,418108.9,4024350.6,0.1099999994,Whiskey Springs
WS26,418288.9,4024200.6,0.0500000007,Whiskey Springs
WS27,418288.9,4024740.6,0.0500000007,Whiskey Springs
WS28,418048.9,4024200.6,0.0599999987,Whiskey Springs
WS29,417298.9,4023690.6,0.0900000036,Whiskey Springs
WS30,418288.9,4024290.6,0.0399999991,Whiskey Springs
